time_s,resultant
215.63,2.09163125
215.64,0.691125226
215.65,1.326689396
215.66,0.709336509
215.67,2.261800114
215.68,1.794873885
215.69,0.629524016
215.7,0.667415187
215.71,1.023350725
215.72,0.946500932
215.73,0.729257061
215.74,0.574764377
215.75,0.501243813
215.76,0.442455648
215.77,0.339519253
215.78,0.220866997
215.79,0.152661703
215.8,0.249915206
215.81,0.436949299
215.82,0.633538953
215.83,0.817986134
215.84,0.989736145
215.85,1.185853856
215.86,1.272739761
215.87,1.172992874
215.88,0.969914096
215.89,0.769004538
215.9,0.672237097
215.91,0.693820688
215.92,0.839083386
215.93,0.946200891
215.94,0.980332328
215.95,1.044756746
215.96,1.097700575
215.97,0.895420136
215.98,0.297196949
215.99,2.755153674
216,2.746615126
216.01,1.462641689
216.02,1.059270948
216.03,0.508656479
216.04,1.329367127
216.05,1.338859524
216.06,1.03739582
216.07,0.965766511
216.08,0.928272291
216.09,0.704595043
216.1,0.525752193
216.11,0.473545137
216.12,0.537097728
216.13,0.455721061
216.14,0.315624639
216.15,0.226194418
216.16,0.114262651
216.17,0.087210801
216.18,0.366836429
216.19,0.721675392
216.2,0.931643815
216.21,1.115421651
216.22,1.287911429
216.23,1.434916352
216.24,1.526254337
216.25,1.509347023
216.26,1.393850493
216.27,1.141430986
216.28,0.80612026
216.29,0.44167487
216.3,0.328490826
216.31,0.661622249
216.32,1.018997252
216.33,1.151043742
216.34,0.95274945
216.35,0.522630265
216.36,3.047718013
216.37,3.163653192
216.38,1.116245416
216.39,1.029020264
216.4,0.870618357
216.41,1.736397229
216.42,1.848488956
216.43,0.833916764
216.44,0.71898049
216.45,0.868147095
216.46,0.770051104
216.47,0.68344564
216.48,0.611079962
216.49,0.525402757
216.5,0.416958696
216.51,0.315561297
216.52,0.26400533
216.53,0.205457294
216.54,0.156402026
216.55,0.282209692
216.56,0.478798119
216.57,0.703833589
216.58,0.956677364
216.59,1.158334008
216.6,1.333940304
216.61,1.42945458
216.62,1.344996569
216.63,0.984023502
216.64,0.72375485
216.65,0.664312898
216.66,0.774246111
216.67,0.959957088
216.68,1.071215823
216.69,1.138901899
216.7,1.115742756
216.71,0.766608668
216.72,1.243281271
216.73,2.746250201
216.74,2.297419972
216.75,1.671407847
216.76,1.171793227
216.77,0.795579504
216.78,1.589316531
216.79,1.250118997
216.8,0.844338872
216.81,0.910299942
216.82,0.93964236
216.83,0.717272657
216.84,0.482820355
216.85,0.454532197
216.86,0.392601712
216.87,0.256664648
216.88,0.184678708
216.89,0.21477575
216.9,0.237032697
216.91,0.319952846
216.92,0.528992769
216.93,0.745251914
216.94,0.930143064
216.95,1.067104508
216.96,1.265379614
216.97,1.379707514
216.98,1.390856127
216.99,1.304054144
217,1.10611803
217.01,0.905595913
217.02,0.728233686
217.03,0.583148384
217.04,0.677620608
217.05,0.996899668
217.06,1.115299423
217.07,1.044582035
217.08,0.598061694
217.09,1.56222613
217.1,3.337942262
217.11,2.23576864
217.12,0.843847886
217.13,0.723142839
217.14,1.152985716
217.15,1.79008097
217.16,0.991748834
217.17,0.918500234
217.18,1.289175105
217.19,1.080700518
217.2,0.771338186
217.21,0.721824065
217.22,0.682029571
217.23,0.553650418
217.24,0.436751415
217.25,0.345784605
217.26,0.23845558
217.27,0.196891391
217.28,0.247132096
217.29,0.432038159
217.3,0.658373497
217.31,0.829031411
217.32,1.067075221
217.33,1.267718616
217.34,1.379650523
217.35,1.406857828
217.36,1.302525857
217.37,0.908837201
217.38,0.646672655
217.39,0.709848463
217.4,0.883642409
217.41,1.049950104
217.42,1.137605949
217.43,1.164491202
217.44,1.100692398
217.45,0.824183984
217.46,0.870664289
